Crop,N,P,K,pH,Water content(vwc%),Price per quintal,Water Requirement,Sowing months,Harvesting months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango,2.0-4.0 ,0.15-0.25 ,0.3-0.6 ,6.0-7.0,20 - 30,"₹7,112.00",1000-1200,April to June,May to August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana,2.5-4.0 ,0.8-1.2 ,2.0-3.0 ,5.5-7.0,20 - 30,"₹1,650.00",1200-1400,Year-round,Year-round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaya,2.5-3.5 ,0.5-1.0 ,1.5-2.5 ,5.5-7.0,20 - 30,₹700.00,800-1000,February to April,July to October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grapes,1.5-3.5 ,0.3-0.6 ,1.5-2.5 ,6.0-7.0,20 - 30,₹4000-4450,600-800,October to November,"April to May, January to February",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikoo,1.5-3.0 ,0.25-0.5 ,1.0-1.5 ,6.0-7.5,20 - 30,"₹1,000.00",700-800,"May to June, October to November","December to February, April to June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomegranate,2.0-4.0 ,0.3-0.5 ,1.5-2.5 ,6.0-7.5,20 - 30,"₹4,000.00",800-1000,June to July,"November to December, February to April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guava,2.0-4.0 ,0.3-0.5 ,1.5-2.5 ,5.5-7.5,20 - 30,"₹2,500.00",600-800,"May to June, September to October","December to February, May to June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watermelon,2.0-3.0 ,0.5-1.0 ,1.0-2.0 ,6.0-7.5,90 - 95,"₹3,000.00",700-1000,"March to April, June to July","May to June, September to November",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musk Melon,1.5-3.0 ,0.3-0.6 ,1.0-1.5 ,6.0-7.5,90 - 95,"₹3,000.00",500-800,"March to April, June to July","May to June, September to November",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,2.5-3.5 ,0.5-1.0 ,2.5-3.5 ,6.0-7.0,10 - 15,"₹2,500.00",500-700,"November to January, March to April","February to May, September to October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,2.0-3.0 ,0.5-1.0 ,2.0-3.0 ,5.5-6.5,60 - 75,"₹2,500.00",400-500,"November to December, January to February","March to April, June to July",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okra,2.5-3.5 ,0.5-1.0 ,2.0-3.0 ,6.0-7.0,15 - 20,"₹4,600.00",500-600,"May to June, September to October",October to December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,5.5-6.5,50 - 60,₹2000-6200,350-450,November to December,April to May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,5.5-6.5,40 - 60,₹7000-9000,400-500,November to December,February to March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,70 - 80,"₹3,000.00",400-500,"October to November, January to February","April to May, August to September",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetroot,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,70 - 80,"₹3,500.00",400-500,"October to November, January to February","March to May, September to October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucumber,2.5-3.5 ,0.5-1.0 ,2.5-3.5 ,6.0-7.0,90 - 95,₹800.00,400-500,"February to March, June to July","March to April, August to September",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottle gourd,2.5-3.5 ,0.5-1.0 ,2.5-3.5 ,6.0-7.0,90 - 95,950-1000,400-500,"February to March, June to July","April to May, August to September",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge gourd,2.5-3.5 ,0.5-1.0 ,2.5-3.5 ,6.0-7.0,90 - 95,₹950-1000,400-500,"February to March, June to July","April to May, August to September",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brinjal,2.0-3.0 ,0.5-1.0 ,2.0-3.0 ,5.5-6.5,50 - 60,₹1700-3200,400-500,"October to November, January to February","March to May, October to December",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green chilli,2.5-3.5 ,0.5-1.0 ,2.5-3.5 ,6.0-7.0,50 - 60,₹2900-3900,400-500,"January to February, June to July","March to April, August to September",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,60 - 75,₹5825-6025,700-800,May to June,October to November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,2.0-3.0 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,10 - 15,₹1975-2025,400-500,October to December,March to April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,2.0-3.0 ,0.5-1.0 ,2.0-3.0 ,6.0-7.0,20 - 30,₹5275-5375,500-600,"June to July, September to October","November to December, February to April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,2.5-3.5 ,0.5-1.0 ,2.5-3.5 ,6.0-7.0,75 - 80,₹285.00,1500-2000,October to November,February to March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesame,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,20 - 30,"₹7,275.00",500-600,June to July,October to November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustard,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,20 - 30,"₹4,650.00",500-600,October to November,February to March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumin,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,20 - 30,"₹5,350.00",400-500,October to November,February to March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fennel,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,20 - 30,"₹4,875.00",400-500,October to November,February to March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriander,1.5-2.5 ,0.5-1.0 ,1.5-2.5 ,6.0-7.0,20 - 30,"₹7,150.00",400-500,"November to January, March to April","May to June, September to October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turmeric,2.0-3.0 ,0.5-1.0 ,2.0-3.0 ,5.5-6.5,75 - 80,"₹6,000.00",700-800,June to July,January to February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger,2.0-3.0 ,0.5-1.0 ,2.0-3.0 ,5.5-6.5,75 - 80,₹4700,700-800,June to July,December to January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,0.6-0.8 ,0.4-0.5 ,0.4-0.5 ,5.5-6.5,50 - 60,₹1940,1200-1500,June to July,November to December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra,0.4-0.6 ,0.2-0.3 ,0.2-0.3 ,6.0-7.0,10 - 15,₹2400,400-500,June to July,November to December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,0.8-1.0 ,0.4-0.5 ,0.4-0.5 ,6.0-7.0,10 - 15,₹2950,600-800,June to July,November to December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gram,0.3-0.4 ,0.3-0.4 ,0.3-0.4 ,6.0-7.0,10 - 15,₹5675,300-400,October to November,March to April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toor,0.3-0.4 ,0.3-0.4 ,0.3-0.4 ,6.0-7.0,10 - 15,₹6300,400-500,June to July,October to November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moong,0.4-0.5 ,0.3-0.4 ,0.3-0.4 ,6.0-7.0,8 - 14,₹7050,300-400,June to July,October to November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castor,0.4-0.5 ,0.4-0.5 ,0.4-0.5 ,6.0-7.0,10 - 15,₹6005,600-800,June to July,December to January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower,2.5-3.0,1.0-1.5,2.0-2.5,6.0-7.5,14 - 18,"Rs. 1,800",450-500,July - October,November - February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage,2.0-2.5,0.8-1.2,1.8-2.2,6.0-7.5,16 - 20,"Rs. 1,400",450-500,July - October,November - February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radish,1.0-1.5,0.8-1.2,1.3-1.8,6.0-7.5,18 - 25,Rs. 750,400-450,June - July,September - November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnip,1.5-2.0,1.0-1.5,1.5-2.0,6.0-7.5,20 - 25,Rs. 800,400-450,June - July,September - November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Potato,2.0-2.5,1.2-1.8,2.4-3.0,5.0-6.5,20 - 25,"Rs. 2,250",600-700,April - May,October - November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drumstick,1.5-2.0,0.8-1.2,1.8-2.2,6.0-7.5,20 - 25,"Rs. 7,200",650-700,May - July,October - February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster Beans,1.5-2.0,0.8-1.2,1.8-2.2,6.0-7.5,25 - 30,"Rs. 5,050",250-300,May - June,September - December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Beans,1.5-2.0,0.8-1.2,1.8-2.2,6.0-7.5,25 - 30,"Rs. 5,300",300-350,October - February,February - April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coconut,soybean,blackgram,castor,sorghum,tur,urad,curcurbits,turmeric,Banta,papaya,cow,pea,guar,moth,beans,tuber,cumin,fennel,ivy,gourd,kiwi.,strawberry,latching,rai,orange,mosambi,blackpepper,mint,palak,cardamom,cinnamon,stick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fennel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,